city_id,store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,hours_sale,stock_hour6_22_cnt,hours_stock_status,activity_flag,discount,holiday_flag,precpt,avg_temperature,avg_humidity,avg_wind_level
0,0,2,25,62,31,54,2025-04-30,0.9,"[0.  0.  0.  0.  0.  0.  0.1 0.  0.2 0.1 0.  0.1 0.1 0.  0.1 0.  0.2 0.
 0.  0.  0.  0.  0.  0. ]",5,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0,1.0,0,1.4621,20.88,56.32,1.39
0,0,2,25,62,31,54,2025-05-01,2.0,"[0.  0.  0.  0.  0.  0.  0.  0.  0.3 0.3 0.8 0.2 0.  0.1 0.  0.3 0.  0.
 0.  0.  0.  0.  0.  0. ]",10,[1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1],0,1.0,1,1.2773,21.52,57.65,1.63
0,0,2,25,62,31,54,2025-05-02,0.9,"[0.  0.  0.  0.  0.  0.  0.  0.  0.3 0.1 0.  0.1 0.2 0.1 0.1 0.  0.  0.
 0.  0.  0.  0.  0.  0. ]",7,[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1],0,1.0,1,1.119,21.88,60.03,1.77
0,0,2,25,62,31,54,2025-05-03,1.0,"[0.  0.  0.  0.  0.  0.  0.  0.1 0.2 0.1 0.1 0.1 0.1 0.  0.  0.1 0.2 0.
 0.  0.  0.  0.  0.  0. ]",0,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],0,1.0,1,1.8706,22.63,61.44,2.32
0,0,2,25,62,31,54,2025-05-04,1.2,"[0.  0.  0.  0.  0.  0.  0.  0.2 0.2 0.2 0.3 0.1 0.2 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0. ]",9,[1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1],0,1.0,1,2.1437,21.99,67.06,2.25
0,0,2,25,62,31,54,2025-05-05,1.3,"[0.  0.  0.  0.  0.  0.  0.  0.1 0.2 0.1 0.2 0.3 0.2 0.1 0.1 0.  0.  0.
 0.  0.  0.  0.  0.  0. ]",6,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],0,1.0,1,3.1502,23.13,65.62,2.04
0,0,2,25,62,31,54,2025-05-06,0.7,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.1 0.  0.3 0.  0.  0.2
 0.  0.  0.  0.  0.  0. ]",3,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1],0,1.0,0,3.887,23.28,68.23,2.14
0,0,2,25,62,31,54,2025-05-07,1.2,"[0.  0.  0.  0.  0.  0.1 0.  0.2 0.1 0.  0.2 0.  0.  0.1 0.  0.1 0.4 0.
 0.  0.  0.  0.  0.  0. ]",5,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0,1.0,0,3.509,22.72,69.64,1.98
0,0,2,25,62,31,54,2025-05-08,1.5,"[0.  0.  0.  0.  0.  0.  0.  0.1 0.2 0.1 0.5 0.1 0.1 0.1 0.1 0.2 0.  0.
 0.  0.  0.  0.  0.  0. ]",6,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1],0,0.915,0,4.4019,23.55,65.2,2.14
0,0,2,25,62,31,54,2025-05-09,1.4,"[0.  0.  0.  0.  0.  0.  0.1 0.3 0.  0.  0.2 0.1 0.1 0.2 0.2 0.  0.1 0.1
 0.  0.  0.  0.  0.  0. ]",5,[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1],0,1.0,0,4.2321,23.06,64.57,2.16
