city_id,store_id,product_id,dt,sale_amount,stock_hour6_22_cnt,activity_flag,discount,holiday_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,year,month,day_of_month,day_of_week,week_of_year,quarter,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28
0,0,54,2025-04-30,0.9,5,0,1.0,0,1.4621,20.88,56.32,1.39,2025,4,30,2,18,2,0,,,,,,,
0,0,54,2025-05-01,2.0,10,0,1.0,1,1.2773,21.52,57.65,1.63,2025,5,1,3,18,2,0,0.9,,,,,,
0,0,54,2025-05-02,0.9,7,0,1.0,1,1.119,21.88,60.03,1.77,2025,5,2,4,18,2,0,2.0,,,,,,
0,0,54,2025-05-03,1.0,0,0,1.0,1,1.8706,22.63,61.44,2.32,2025,5,3,5,18,2,1,0.9,,,,,,
0,0,54,2025-05-04,1.2,9,0,1.0,1,2.1437,21.99,67.06,2.25,2025,5,4,6,18,2,1,1.0,,,,,,
0,0,54,2025-05-05,1.3,6,0,1.0,1,3.1502,23.13,65.62,2.04,2025,5,5,0,19,2,0,1.2,,,,,,
0,0,54,2025-05-06,0.7,3,0,1.0,0,3.887,23.28,68.23,2.14,2025,5,6,1,19,2,0,1.3,,,,,,
0,0,54,2025-05-07,1.2,5,0,1.0,0,3.509,22.72,69.64,1.98,2025,5,7,2,19,2,0,0.7,0.9,,,1.1428571428571428,,
0,0,54,2025-05-08,1.5,6,0,0.915,0,4.4019,23.55,65.2,2.14,2025,5,8,3,19,2,0,1.2,2.0,,,1.1857142857142855,,
0,0,54,2025-05-09,1.4,5,0,1.0,0,4.2321,23.06,64.57,2.16,2025,5,9,4,19,2,0,1.5,0.9,,,1.114285714285714,,
0,0,54,2025-05-10,1.7,9,0,1.0,1,0.6076,23.16,64.24,1.5,2025,5,10,5,19,2,1,1.4,1.0,,,1.1857142857142857,,
